search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,400,65030.3275428772,69.112625,35.858585,74.45034,78.42063,78.618065,64.465576,67.91408,61.133335,75.0,28.153963,1121.2599,-0.35452715,-0.5169973,-0.4136072,5849.5
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,800,65282.36853203774,69.3686,37.878788,77.7862,77.912766,78.726875,63.40598,75.57774,67.066666,79.13908,20.862625,1094.3649,-0.31871808,0.19555861,-0.13170837,2766.5
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,1000,65973.96862969399,69.3686,36.868687,76.95224,77.843056,78.83569,63.935234,78.63148,66.5,73.202614,20.638,1046.8523,-0.36452207,0.27004537,-0.13377029,3458.1
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,1200,66665.66833672524,69.027306,36.363636,75.966644,77.9526,78.99891,63.690384,77.112724,68.0,79.27631,20.465826,1035.6364,-0.44624102,-0.123448685,-0.328862,4149.8
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,1400,67357.26843438149,69.19795,36.363636,72.55496,77.862976,78.83569,64.06469,76.55194,63.366665,73.52941,17.526102,1068.6798,-0.46991542,0.23692566,-0.2128823,4841.4
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,600,67955.1273475647,70.05119,35.858585,80.28809,78.35093,78.56366,65.803055,69.598946,56.833332,75.32895,24.528816,1094.4508,-0.34168175,-0.45899093,-0.38433963,8774.3
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,1600,68048.86853203774,69.112625,36.363636,75.20849,77.79327,78.83569,64.13694,76.82422,64.53333,74.666664,19.95446,1054.4865,-0.5346408,0.1013351,-0.30337682,5533.0
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,1800,68740.46862969399,68.94198,37.373737,75.28431,77.912766,78.8901,63.9976,77.25136,66.2,78.0,20.01533,1042.9529,-0.42721245,0.19406685,-0.20129271,6224.6
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,2000,69432.16833672524,69.539246,38.88889,73.768005,77.88289,78.83569,63.94679,75.37916,64.933334,75.81699,18.37049,1061.3403,-0.3492677,0.24431601,-0.13341908,6916.3
Z-Dynamic,RandomSearch,0,5,1e-06,0.08,2031,69539.36853203774,69.62457,37.373737,74.45034,77.78331,78.99891,63.982548,76.1735,64.933334,75.167786,18.47066,1021.5971,-0.3295535,0.12107632,-0.16568811,7023.5
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,800,70879.9271522522,69.62457,38.88889,80.21228,78.20155,78.67247,64.695885,72.11936,51.066666,68.21192,23.90799,1037.6603,-0.090459034,-0.3754319,-0.19408552,11699.1
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,200,72454.65484318734,69.88055,35.353535,81.12206,78.94842,78.618065,64.89841,71.93702,75.4,81.6129,37.829903,1116.9609,0.51933646,0.007173082,0.33309522,2913.7
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,1000,73804.7279335022,69.28328,36.868687,80.97043,78.06214,78.9445,65.02755,74.434944,48.833332,63.57616,15.45886,1010.16956,-0.18898071,-0.5911388,-0.33522,14623.9
Z-Dynamic,RandomSearch,0,6,4e-06,0.02,400,75368.25469670296,70.22184,33.838383,85.291885,79.39654,78.67247,64.6535,73.00363,73.166664,76.64474,41.00121,1105.864,0.21224084,0.25286114,0.22701187,5827.3
Z-Dynamic,RandomSearch,0,4,4e-06,0.08,1200,76729.4271522522,69.112625,33.333332,79.45413,78.45051,79.37976,63.903908,70.74424,49.9,62.582783,23.422256,1021.43933,-0.41242477,-0.91945416,-0.5967991,17548.6
