search_objective,optimizer,seed,trial_id,size,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
ELO,BOHB,14,2,14b,4e-06,0.01,200,19264.85626540184,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,70.666664,86.451614,53.84435,1268.0673,0.897812,0.9996048,0.93482757,6759.6
ELO,BOHB,15,3,4b,1e-06,0.02,200,12912.527908182145,67.40614,36.868687,86.959816,77.61402,78.29162,60.46324,74.22511,83.933334,86.18421,36.236164,1187.1586,0.5990982,0.96556526,0.73235893,2902.3
ELO,BOHB,16,2,14b,2e-06,0.01,200,19264.659178352355,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,76.9,85.80645,57.493683,1285.0702,0.89506,1.1885978,1.001801,6789.4
ELO,BOHB,17,2,14b,1e-06,0.01,400,26017.15607676506,72.35495,36.868687,92.191055,82.20474,78.726875,66.98725,77.646034,76.566666,88.3871,55.30741,1276.745,0.8597641,1.1891431,0.97953826,13541.9
ELO,BOHB,18,2,4b,1e-06,0.01,200,15407.55575237274,67.06485,34.848484,86.732376,77.82314,78.07399,60.518658,75.3442,84.166664,86.21795,38.53362,1210.0366,0.54670376,1.025507,0.720814,2902.3
ELO,BOHB,19,4,14b,1e-06,0.02,400,20959.39818654442,71.75768,37.373737,91.43291,82.224655,79.10773,65.29052,77.523636,73.46667,81.9079,49.954933,1265.8021,0.84879744,0.84370786,0.84694666,13594.0
ELO,BOHB,20,5,14b,1e-06,0.01,200,28591.47476444625,69.96587,36.363636,89.31008,82.07529,80.52231,59.815693,80.17145,71.26667,82.90323,42.76248,1232.8019,0.8194465,0.7471075,0.7931414,6770.9
ELO,BOHB,21,4,14b,2e-06,0.02,200,31811.11177072525,71.672356,37.373737,91.12965,82.274445,79.434166,65.073105,78.32922,72.066666,84.09091,51.98968,1262.9352,0.9103049,0.94679034,0.9235723,6745.7
ELO,BOHB,22,0,14b,1e-06,0.01,600,20312.902775382998,72.8669,36.868687,91.357086,82.4537,78.50925,68.0801,76.699326,74.26667,86.60131,54.841022,1285.787,0.83932745,1.2500756,0.98869044,20312.8
ELO,BOHB,23,2,14b,4e-06,0.02,200,19289.157112932204,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.96667,83.552635,50.026516,1262.8114,0.92929727,0.9276821,0.92871,6763.9
ELO,BOHB,24,3,8b,2e-06,0.04,200,33737.862474060064,70.819115,38.88889,84.60955,79.615616,78.07399,60.554516,80.688515,69.933334,83.11688,32.8592,1195.9059,0.7492972,0.5514105,0.6773384,4262.4
ELO,BOTorch,0,3,14b,4e-06,0.01,200,19264.858596658705,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,70.666664,86.451614,53.84435,1268.0673,0.897812,0.9996048,0.93482757,6759.6
ELO,BOTorch,1,2,8b,2e-06,0.02,200,16777.95591125488,71.16041,37.878788,85.44352,79.72515,77.96518,62.357796,78.13563,71.6,87.33766,43.10038,1226.4381,0.74252415,0.85279983,0.7826244,4237.7
ELO,BOTorch,2,1,14b,1e-06,0.02,400,13594.102225637434,71.75768,37.373737,91.43291,82.224655,79.10773,65.29052,77.523636,73.46667,81.9079,49.954933,1265.8021,0.84879744,0.84370786,0.84694666,13594.0
ELO,BOTorch,3,1,8b,4e-06,0.02,200,4256.1025863647465,71.92833,38.88889,86.50493,80.233025,77.910774,64.28033,78.08692,72.0,85.76159,41.394894,1237.6453,0.8198004,0.81409365,0.8177252,4256.0
ELO,BOTorch,4,0,8b,4e-06,0.02,200,4256.102954006195,71.92833,38.88889,86.50493,80.233025,77.910774,64.28033,78.08692,72.0,85.76159,41.394894,1237.6453,0.8198004,0.81409365,0.8177252,4256.0
ELO,BOTorch,5,1,8b,4e-06,0.02,200,4256.102656698227,71.92833,38.88889,86.50493,80.233025,77.910774,64.28033,78.08692,72.0,85.76159,41.394894,1237.6453,0.8198004,0.81409365,0.8177252,4256.0
ELO,BOTorch,6,2,8b,4e-06,0.04,200,8365.989543771742,71.58703,39.39394,86.27748,79.994026,77.693146,63.703495,78.71265,70.2,81.818184,37.30453,1206.29,0.8091844,0.59860915,0.7326116,1325.8
