search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,6,2e-06,0.01,600,226121.12859973905,74.317406,33.838383,91.96361,82.56323,77.25789,70.01374,73.64061,58.6,82.371796,1249.4349,0.120260805,-0.31677034,-0.010848539,20368.3
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,600,226358.8305343151,71.843,36.868687,92.26687,82.11512,79.37976,66.24594,77.27884,73.23333,79.03226,1256.9156,0.0824788,0.11718283,0.09289001,20391.0
Z-Dynamic,RandomSearch,0,6,2e-06,0.01,800,232910.62859973905,74.82935,36.363636,91.357086,82.842064,77.52992,70.650635,73.66809,58.6,82.371796,1215.6925,0.19640854,-0.33604103,0.036673665,27157.8
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,800,233155.8305343151,72.01365,36.363636,91.12965,82.00558,79.10773,66.55239,78.26927,70.7,79.03226,1226.325,-0.08213106,0.059634946,-0.03960126,27188.0
Z-Dynamic,RandomSearch,0,6,2e-06,0.01,1000,239700.02703723905,74.57338,35.858585,91.96361,82.69269,77.693146,70.48301,72.60646,58.6,81.29032,1202.47,0.28524125,-0.39440095,0.08134858,33947.2
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,1000,239952.8305343151,72.01365,35.353535,90.826385,82.20474,78.99891,66.906044,79.395836,71.03333,80.76923,1240.5292,0.01478852,0.70683545,0.2224026,33985.0
Z-Dynamic,RandomSearch,0,6,2e-06,0.01,1200,246489.52703723905,74.744026,34.848484,91.58453,82.81219,78.07399,70.283134,69.10436,58.6,81.29032,1243.5118,0.1972101,-0.25305888,0.062129404,40736.7
Z-Dynamic,RandomSearch,0,7,1e-06,0.02,1200,246749.7289718151,72.44027,36.363636,91.50872,82.18482,79.37976,66.88289,78.193085,71.03333,85.25641,1264.299,0.27119657,1.2559471,0.5666217,40781.9
Z-Dynamic,RandomSearch,0,6,2e-06,0.01,1400,253278.92938098905,74.744026,34.848484,91.66035,82.86198,77.96518,70.844925,70.02359,58.6,74.19355,1213.8882,0.30369374,-1.0985223,-0.11697106,47526.1
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,200,6764.002138471604,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.9,83.552635,1262.8114,0.4888241,0.6733288,0.5441755,6763.9
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,200,6797.102184152604,69.88055,36.363636,88.77938,81.99562,80.4679,59.353775,80.41624,73.4,77.597404,1217.1661,-0.38496372,-0.3562789,-0.37635827,6797.0
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,400,13527.802431440352,73.037544,34.343433,91.81198,82.5234,78.07399,69.10139,77.673515,72.9,81.935486,1253.2495,0.24240361,0.10519954,0.20124239,13527.7
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,400,13594.102184152602,71.75768,37.373737,91.43291,82.224655,79.10773,65.29052,77.523636,73.4,81.9079,1265.8021,-0.050759137,0.30062062,0.05465479,13594.0
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,600,20291.70184550285,73.29352,31.313131,90.59894,82.73252,78.45484,69.35596,72.28797,72.9,81.49351,1214.3354,-0.24299167,-0.06284695,-0.18894826,20291.6
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,600,20391.1021841526,71.843,36.868687,92.26687,82.11512,79.37976,66.24594,77.27884,73.23333,79.03226,1256.9156,0.0824788,0.11718283,0.09289001,20391.0
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,800,27055.60223612785,73.72014,31.818182,91.58453,82.97152,78.99891,69.43575,76.66935,72.9,77.12418,1191.3805,0.2660964,-0.6439079,-0.0069048763,27055.5
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,800,27188.1021841526,72.01365,36.363636,91.12965,82.00558,79.10773,66.55239,78.26927,70.7,79.03226,1226.325,-0.08213106,0.059634946,-0.03960126,27188.0
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,1000,33819.40301737786,73.29352,33.838383,90.97801,83.04123,79.542984,68.65448,73.42828,72.9,76.797386,1170.6276,0.17939983,-0.4097548,0.0026534435,33819.3
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,1000,33985.10218415261,72.01365,35.353535,90.826385,82.20474,78.99891,66.906044,79.395836,71.03333,80.76923,1240.5292,0.01478852,0.70683545,0.2224026,33985.0
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,1200,40583.30145487786,73.37884,33.333332,88.55193,83.001396,79.76061,67.44698,76.91165,72.9,80.32258,1210.2466,0.057996117,0.093102805,0.06852812,40583.2
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,1200,40782.00062165261,72.44027,36.363636,91.50872,82.18482,79.37976,66.88289,78.193085,71.03333,85.25641,1264.299,0.27119657,1.2559471,0.5666217,40781.9
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,1400,47347.20379862786,72.69624,34.343433,89.689156,82.94164,79.76061,68.36551,76.92539,72.9,76.797386,1204.655,0.255872,-0.07866396,0.15551123,47347.1
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,1400,47579.00062165261,72.26962,35.353535,91.20546,82.12508,79.21654,67.07109,77.55361,71.03333,83.01282,1257.798,0.05743451,1.2658908,0.4199714,47578.9
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,1600,54111.00067362786,73.12286,34.343433,90.59894,83.02131,79.97824,68.306046,74.21265,72.9,76.797386,1200.6692,0.4683223,0.2173962,0.39304447,54110.9
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,1600,54376.00062165261,72.26962,35.858585,90.67475,82.224655,79.16213,67.05635,77.41747,68.566666,80.76923,1250.5656,0.08671203,0.7757041,0.29340965,54375.9
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,1800,60874.90301737786,73.20819,35.858585,90.44731,82.96156,79.81502,68.63984,74.0053,72.9,81.73077,1203.0208,0.5038259,0.76675457,0.5827045,60874.8
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,1800,61173.00062165261,72.26962,35.353535,90.97801,82.16491,79.37976,67.11047,76.45702,68.566666,80.645164,1248.6042,0.011405216,0.72081447,0.224228,61172.9
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,2000,67638.80536112786,73.12286,34.343433,90.9022,82.95161,80.08705,68.51859,73.956604,72.9,81.04575,1210.9127,0.48587632,0.77499735,0.57261264,67638.7
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,2000,67970.00062165261,72.1843,35.353535,90.44731,82.11512,79.10773,67.087036,77.491165,68.566666,81.16883,1243.3295,-0.07657598,0.79480416,0.18483806,67969.9
Z-Dynamic,RandomSearch,1,1,4e-06,0.02,2031,68687.20379862786,72.78157,33.333332,91.357086,82.92173,80.08705,68.49501,74.64228,72.9,82.89474,1200.205,0.42161086,0.6740773,0.4973508,68687.1
Z-Dynamic,RandomSearch,1,0,1e-06,0.02,2031,69023.50062165261,72.5256,35.353535,90.97801,82.15495,79.21654,67.08203,75.983665,69.23333,85.197365,1257.2955,0.014591977,1.1657019,0.35992494,69023.4
Z-Dynamic,RandomSearch,1,2,4e-06,0.04,200,75443.57521519662,72.01365,36.868687,91.96361,82.105156,79.16213,65.83855,77.48868,60.1,82.35294,1208.4736,0.11450141,-0.76920927,-0.15061179,6752.6
Z-Dynamic,RandomSearch,1,3,4e-06,0.01,200,75785.57923707963,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,56.866665,86.451614,1268.0673,0.18437842,0.08599696,0.15486398,6759.6
Z-Dynamic,RandomSearch,1,2,4e-06,0.04,400,82196.17531285287,72.35495,34.343433,89.08264,82.32424,79.10773,68.15405,76.56319,60.1,82.35294,1208.4736,-0.45643756,-1.1010944,-0.64983463,13505.2
Z-Dynamic,RandomSearch,1,3,4e-06,0.01,400,82545.07874879838,73.97611,31.818182,91.20546,83.04123,76.93145,70.14576,77.9945,56.866665,83.552635,1234.3727,0.32993323,-0.70941913,0.018127521,13519.1
Z-Dynamic,RandomSearch,1,2,4e-06,0.04,600,88948.77589879037,72.78157,34.848484,90.97801,82.553276,79.05332,68.51861,76.77801,60.1,83.22581,1206.1525,0.18451467,-0.61758274,-0.056114558,20257.8
Z-Dynamic,RandomSearch,1,3,4e-06,0.01,600,89304.67835817338,74.48805,31.313131,89.61334,83.09102,77.801956,70.3496,70.540665,56.866665,83.552635,1181.4106,-0.1807132,-1.0310656,-0.43581894,20278.7
Z-Dynamic,RandomSearch,1,2,4e-06,0.04,800,95701.37550816537,72.44027,33.333332,91.20546,82.672775,78.9445,68.01165,77.58359,60.1,80.76923,1192.372,-0.012357906,-0.84852093,-0.2632068,27010.4
Z-Dynamic,RandomSearch,1,3,4e-06,0.01,800,96064.27992067338,74.14676,32.82828,90.06824,83.11093,77.910774,70.56171,78.12814,56.866665,83.552635,1206.8047,0.13551219,-0.41680765,-0.030183766,27038.3
Z-Dynamic,RandomSearch,1,2,4e-06,0.04,1000,102453.97511754037,72.8669,32.32323,91.43291,82.90181,78.99891,67.51792,77.61356,60.1,82.258064,1201.0516,0.016357563,-0.19634935,-0.047454514,33763.0
Z-Dynamic,RandomSearch,1,3,4e-06,0.01,1000,102823.77992067338,74.65871,34.343433,90.219864,83.39972,78.23721,69.37181,75.02571,56.866665,75.64103,1161.0533,0.33274257,-1.6417009,-0.25959045,33797.8
