search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,800,29957.11384997368,59.215015,22.222221,56.558,69.508064,76.22416,51.007473,48.597553,74.3,88.43537,20.32413,959.6503,1.0400727,1.0588517,1.0469015,4921.7
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,800,29974.31361041069,57.593857,23.232323,41.015923,67.67576,75.7345,47.330757,41.83439,57.933334,66.78322,6.0112824,819.5563,-0.71689117,-1.216845,-0.89869255,4938.9
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,1000,31187.61384997368,59.300343,22.222221,55.724033,69.67735,75.952126,51.19709,50.118797,73.4,84.9315,20.341768,971.81805,1.033671,1.0385889,1.0354593,6152.2
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,1000,31209.01380572319,57.67918,21.717173,42.153145,67.51643,75.680084,47.312096,40.710316,59.233334,68.70748,6.773769,832.6963,-0.8848567,-1.0969415,-0.96197844,6173.6
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,1200,32418.013752317427,59.47099,21.717173,57.240334,69.60765,75.51687,51.3951,50.026375,76.566666,89.11565,21.393772,937.7151,0.70896316,1.0820725,0.8446393,7382.6
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,1200,32443.71351275444,57.167236,23.737373,41.167553,67.6658,75.7345,47.37764,39.98092,59.233334,63.605442,6.0232577,798.9839,-0.7081997,-1.3589892,-0.94485044,7408.3
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,1400,33648.413654661184,59.64164,22.222221,57.16452,69.60765,75.7889,51.438747,49.433117,74.86667,85.57047,21.769796,995.8008,1.0771986,1.1388042,1.0996007,8613.0
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,1400,33678.413708066946,57.764503,21.717173,40.864292,67.79526,75.62568,47.404415,39.216557,58.933334,70.7483,5.722455,791.2416,-0.8597832,-1.1873592,-0.97890174,8643.0
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,1600,34878.913654661184,59.215015,22.727272,57.16452,69.5479,75.84331,51.514122,49.294483,75.833336,82.55034,21.66753,934.38306,0.9337411,0.96253556,0.94421184,9843.5
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,1600,34913.113903379446,57.67918,21.212122,41.698257,67.57618,75.84331,47.387547,39.752357,55.433334,68.83117,5.6790013,802.52545,-0.9507681,-1.3568506,-1.0984344,9877.7
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,1800,36109.31404528618,59.385666,20.707071,56.330555,69.5479,75.7345,51.593643,49.248272,77.76667,78.47682,22.222586,915.6758,0.826696,0.8378739,0.83076066,11073.9
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,1800,36147.91370806695,57.593857,20.707071,41.9257,67.5463,75.51687,47.33896,39.82605,57.833332,58.333332,6.0873137,831.6095,-1.0384732,-1.5015053,-1.2068485,11112.5
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,2000,37339.713459348684,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.1,80.68965,22.627554,927.859,0.9108035,0.8244999,0.8794204,12304.3
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,2000,37382.613903379446,57.508533,20.707071,41.77407,67.5961,75.62568,47.385075,40.21574,60.333332,66.11842,5.762843,797.3752,-1.0311357,-1.3682412,-1.1537195,12347.2
Z-Dynamic,RandomSearch,0,4,4e-06,0.02,2031,37530.413654661184,59.385666,19.69697,57.391964,69.577774,76.16975,51.550198,50.391075,77.333336,85.13513,22.30177,1003.3124,0.9199218,1.3050947,1.0599847,12495.0
Z-Dynamic,RandomSearch,0,5,1e-06,0.01,2031,37574.013317441946,57.593857,19.69697,40.333588,67.5463,75.40805,47.265163,41.40475,58.1,63.851353,6.0374947,854.5315,-1.1608448,-1.1553656,-1.1588523,12538.6
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,200,38760.56752262116,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.666668,64.62585,6.459564,809.2971,-0.22349349,-0.29250917,-0.2485901,1230.0
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,200,38803.76817498208,57.167236,23.737373,39.120544,67.5961,75.680084,47.13689,40.50924,57.966667,61.589405,6.9687867,765.80023,0.10952822,-0.37297437,-0.06592726,1228.2
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,400,39990.56752262116,57.935154,20.707071,46.01971,68.11392,75.462456,47.483845,39.81231,64.53333,80.29197,11.049917,869.94836,-0.57974887,0.004272135,-0.3673776,2460.0
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,400,40031.96812615395,57.84983,22.222221,47.76346,68.153755,75.89771,47.210308,42.169113,68.5,79.054054,13.109597,915.9603,-0.10267816,0.3408182,0.058593247,2456.4
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,600,41220.56752262116,58.1058,20.707071,52.009098,68.253334,75.89771,48.105522,41.32607,67.833336,73.630135,13.17649,912.065,-0.18444139,0.054217897,-0.09765619,3690.0
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,600,41260.16832146645,58.447098,23.737373,53.222137,68.47241,75.89771,47.677372,43.378124,68.8,79.13908,17.221611,946.8224,0.39524382,0.5420019,0.4486104,3684.6
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,800,42450.56752262116,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.333336,75.34247,14.325414,879.23193,0.18613517,-0.12584095,0.07268931,4920.0
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,800,42488.3680284977,58.61775,21.717173,53.070507,68.482376,75.680084,47.835857,44.05256,70.433334,73.44827,17.706066,992.2613,-0.16107242,0.48694223,0.07456927,4912.8
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,1000,43680.66762027741,58.361774,21.717173,51.781654,68.28321,76.16975,48.574917,42.023,68.63333,81.69014,14.090952,901.63245,0.009513198,0.23535942,0.091639094,6150.1
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,1000,43716.5682238102,58.191128,20.20202,53.44958,68.47241,76.060936,47.843754,44.414764,73.4,76.736115,18.481031,947.7427,-0.28131455,0.5899513,0.03550938,6141.0
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,1200,44910.66762027741,57.935154,20.20202,52.539803,68.203545,75.84331,48.76268,43.024673,67.3,75.82781,13.877475,904.29425,-0.37180746,-0.025975654,-0.24605045,7380.1
Z-Dynamic,RandomSearch,0,7,2e-06,0.01,1200,44944.8680284977,58.70307,22.727272,53.82866,68.52221,76.16975,48.00654,43.677887,71.5,81.0,17.211168,953.0322,0.30184886,0.5816233,0.40358502,7369.3
Z-Dynamic,RandomSearch,0,6,2e-06,0.04,1400,46140.66713199616,58.361774,22.727272,52.16073,68.273254,75.89771,48.642525,41.58211,68.9,81.78808,13.9110365,911.17474,0.13790397,0.2225931,0.16870002,8610.1
